lon,lat,psi,u,v,r,id
-73.949,40.5289,-1.0472,3,0.00538209,8.25821e-08,4996
-73.9473,40.5476,2.0944,3,-1.2395e-05,-5.13573e-08,4986
-73.9607,40.5221,-0.523599,3,0.000251187,5.24552e-08,4983
-73.9472,40.5346,-0.523599,3,0.000251301,1.06716e-07,4971
-73.9637,40.5431,1.5708,3,0.00025141,1.70907e-07,4962
-73.9338,40.5409,-4.45851e-07,3,0.000251354,1.32741e-07,4959
-73.934,40.5401,-0.523599,3,0.00538199,3.23811e-08,4958
-73.9616,40.5463,1.5708,3,-3.56586e-07,-1.72243e-07,4950
-73.9578,40.5246,-0.523599,3,1.26187e-05,1.5933e-07,4944
-73.9585,40.524,-1.0472,3,0.00538171,6.76239e-08,4943
-73.9581,40.5237,0,3,0,0,4941
-73.9583,40.5229,-0.523599,3,0.00538185,1.39565e-07,4940
-73.9336,40.5391,4.44137e-07,3,0.000251165,4.00504e-08,4938
-73.9451,40.5336,-0.523599,3,0.000251747,3.26772e-07,4919
-73.9407,40.5576,1.5708,3,-0.00538205,-2.45559e-07,4887
-73.9397,40.5574,1.0472,3,1.26325e-05,1.68054e-07,4886
-73.939,40.5569,0.523599,3,0.00538171,6.72388e-08,4885
-73.9306,40.544,0.523598,3,-0.00538126,-5.63417e-08,4881
-73.9747,40.5298,3.14159,3,-0.00538209,-8.23563e-08,4866
-73.9744,40.5305,2.61799,3,-0.000251261,-8.28475e-08,4865
-73.9673,40.5416,2.61799,3,-0.00538199,-3.23701e-08,4860
-73.9705,40.539,2.61799,3,-0.00538199,-3.2337e-08,5565
-73.9708,40.5385,2.0944,3,-0.00538205,-2.36999e-07,4845
-73.9488,40.5292,-0.523599,3,0.000251352,1.30976e-07,5919
-73.9408,40.5393,-0.523599,3,0.000251297,1.06909e-07,4822
-73.9523,40.548,1.5708,3,0.00538176,1.04114e-07,4801
-73.9239,40.5653,1.0472,3,-0.00538198,-2.02174e-07,5660
-73.9657,40.5416,2.0944,3,-0.00538165,-2.4908e-07,4800
-73.953,40.5262,-0.523599,3,0.00538211,2.61938e-07,4788
-73.9655,40.5439,2.0944,3,-0.00538205,-2.34755e-07,4784
-73.9645,40.5441,1.5708,3,-1.30834e-07,-6.19461e-08,4783
-73.9356,40.5385,-0.523599,3,0.00538203,2.25352e-07,5975
-73.9379,40.5417,1.0472,3,-0.00538199,-3.2426e-08,4771
-73.9461,40.5361,-0.523599,3,0.000251354,1.32453e-07,4892
-73.9372,40.5412,0.523599,3,-0.00025112,-1.85015e-08,4770
-73.9412,40.5348,-4.02192e-07,3,8.26567e-07,1.07652e-07,4764
-73.9414,40.5341,-0.523599,3,0.00538198,2.02743e-07,4763
-73.9401,40.5362,-3.9807e-07,3,9.04718e-07,1.44318e-07,4752
-73.942,40.5559,1.5708,3,-0.00538134,-9.65779e-08,5570
-73.9626,40.5449,1.5708,3,-2.97438e-07,-1.44048e-07,4746
-73.9393,40.5369,-0.523599,3,0.00538198,2.03115e-07,4739
-73.9522,40.5296,-0.523599,3,0.000251122,1.90482e-08,4736
-73.9478,40.5294,-0.523599,3,0.00538203,2.25929e-07,4720
-73.9559,40.5533,2.0944,3,-0.00538208,-2.48574e-07,4716
-73.9554,40.5512,1.5708,3,-1.26294e-07,-5.77364e-08,4706
-73.953,40.5289,-2.89527e-07,3,-0.00538132,-8.49151e-08,4704
-73.9213,40.5656,0.523598,3,1.28849e-07,6.16247e-08,5835
-73.9533,40.5282,-0.523599,3,0.00025133,1.20752e-07,4703
-73.9597,40.5238,-0.523599,3,1.23529e-05,3.04064e-08,4671
-73.9604,40.5232,-1.0472,3,0.00538171,6.73154e-08,4670
-73.9417,40.5562,1.5708,3,-0.00538137,-1.103e-07,4669
-73.9456,40.5523,2.61799,3,-0.00538218,-1.25284e-07,4667
-73.9676,40.5407,2.0944,3,-0.000251196,-5.5281e-08,4657
-73.957,40.5515,2.0944,3,-0.000251374,-1.44815e-07,4648
-73.9442,40.5469,2.61799,3,-0.00538209,-8.24083e-08,4646
-73.9644,40.5428,2.0944,3,-1.23494e-05,-2.82244e-08,4642
-73.9454,40.533,-4.00731e-07,3,2.05323e-07,7.86522e-08,4627
-73.9361,40.5426,0.523599,3,0.00538138,1.14617e-07,4772
-73.9479,40.5352,-0.523599,3,0.00025115,3.30767e-08,4625
-73.947,40.5328,-0.523599,3,0.000251286,1.01912e-07,4590
-73.963,40.5456,2.61799,3,-0.00538209,-8.06697e-08,4585
-73.9404,40.5342,2.02636e-07,3,7.60002e-07,7.44195e-08,5350
-73.9425,40.5327,-0.523599,3,0.00538202,2.20383e-07,4807
-73.9456,40.5313,-1.0472,3,0.00538209,8.19966e-08,4613
-73.9348,40.5422,0.523598,3,-1.26047e-05,-1.55366e-07,4569
-73.9459,40.5514,2.0944,3,-0.000251146,-3.1177e-08,4554
-73.9391,40.5351,-0.523598,3,0.00538169,6.02814e-08,4544
