lon,lat,psi,u,v,r,id
-73.9322,40.5425,-4.2307e-07,3,0.000251481,1.89131e-07,4243
-73.9443,40.5344,-2.48759e-07,3,1.79935e-07,7.19436e-08,4617
-73.9442,40.553,1.5708,3,-1.6998e-07,-7.95209e-08,5143
-73.9344,40.5397,-5.21363e-07,3,0.000251226,6.97091e-08,4282
-73.9344,40.5397,-5.21363e-07,3,0.000251226,6.97091e-08,4282
-73.9273,40.5657,1.0472,3,-1.24489e-05,-7.79198e-08,6018
-73.9273,40.5657,1.0472,3,-1.24489e-05,-7.79198e-08,6018
-73.9273,40.5657,1.0472,3,-1.24489e-05,-7.79198e-08,6018
-73.9273,40.5657,1.0472,3,-1.24489e-05,-7.79198e-08,6018
-73.9273,40.5657,1.0472,3,-1.24489e-05,-7.79198e-08,6018
-73.9291,40.5649,1.0472,3,-1.25127e-05,-1.08935e-07,6031
-73.9291,40.5649,1.0472,3,-1.25127e-05,-1.08935e-07,6031
-73.9291,40.5649,1.0472,3,-1.25127e-05,-1.08935e-07,6031
-73.9291,40.5649,1.0472,3,-1.25127e-05,-1.08935e-07,6031
-73.9708,40.5369,2.0944,3,-0.00538171,-7.02004e-08,3739
-73.9523,40.5286,-0.523599,3,0.00025187,3.79833e-07,3235
-73.9254,40.5665,1.0472,3,-1.24495e-05,-7.85807e-08,6004
-73.9254,40.5665,1.0472,3,-1.24495e-05,-7.85807e-08,6004
-73.9254,40.5665,1.0472,3,-1.24495e-05,-7.85807e-08,6004
-73.9254,40.5665,1.0472,3,-1.24495e-05,-7.85807e-08,6004
-73.9254,40.5665,1.0472,3,-1.24495e-05,-7.85807e-08,6004
-73.9254,40.5665,1.0472,3,-1.24495e-05,-7.85807e-08,6004
-73.9454,40.533,-4.00731e-07,3,2.05323e-07,7.86522e-08,4624
-73.9328,40.5633,1.0472,3,-1.26047e-05,-1.55374e-07,6076
-73.9328,40.5633,1.0472,3,-1.26047e-05,-1.55374e-07,6076
-73.9522,40.5324,-0.523599,3,0.000251154,3.75517e-08,3366
-73.9522,40.5324,-0.523599,3,0.000251154,3.75517e-08,3366
-73.9637,40.5431,1.5708,3,0.00025141,1.70907e-07,4956
-73.9464,40.5316,-3.58197e-07,3,4.64302e-07,2.11085e-07,4627
-73.9335,40.5429,-4.31343e-07,3,0.005382,3.64521e-08,4510
-73.9347,40.5625,1.0472,3,-1.2636e-05,-1.714e-07,6101
-73.9602,40.5477,2.0944,3,-0.00538205,-2.37495e-07,3449
-73.953,40.5289,-2.89527e-07,3,-0.00538132,-8.49151e-08,4701
-73.9236,40.5673,1.0472,3,-1.26039e-05,-1.54976e-07,5997
-73.9541,40.5275,-1.6807e-07,3,-0.00538143,-1.41606e-07,4690
-73.9236,40.5673,1.0472,3,-1.26039e-05,-1.54976e-07,5997
-73.9236,40.5673,1.0472,3,-1.26039e-05,-1.54976e-07,5997
-73.9236,40.5673,1.0472,3,-1.26039e-05,-1.54976e-07,5997
-73.9236,40.5673,1.0472,3,-1.26039e-05,-1.54976e-07,5997
-73.9236,40.5673,1.0472,3,-1.26039e-05,-1.54976e-07,5997
-73.9236,40.5673,1.0472,3,-1.26039e-05,-1.54976e-07,5997
-73.9565,40.5494,1.5708,3,0.00538133,9.02416e-08,4788
-73.9322,40.5425,-4.2307e-07,3,0.000251481,1.89131e-07,4243
-73.9528,40.5269,-1.06104e-07,3,2.24413e-07,1.03409e-07,4786
-73.9511,40.5338,-0.523599,3,0.000251319,1.18071e-07,3402
-73.9333,40.5411,-4.81993e-07,3,0.00025113,2.27675e-08,4296
-73.9333,40.5411,-4.81993e-07,3,0.00025113,2.27675e-08,4296
-73.9708,40.5369,2.0944,3,-0.00538171,-7.02004e-08,3739
-73.9355,40.5383,3.69737e-07,3,0.000251388,1.49031e-07,4328
-73.9592,40.5495,1.5708,3,-2.28968e-07,-1.08374e-07,4811
-73.9355,40.5383,3.69737e-07,3,0.000251388,1.49031e-07,4328
-73.9447,40.5327,-0.523599,3,0.0053817,6.13917e-08,3211
-73.957,40.5498,2.0944,3,-0.000251491,-1.94986e-07,3283
-73.9356,40.5401,-4.5035e-07,3,0.000251501,2.15707e-07,4412
-73.9217,40.5681,1.0472,3,-1.24284e-05,-6.83339e-08,5999
-73.9217,40.5681,1.0472,3,-1.24284e-05,-6.83339e-08,5999
-73.9217,40.5681,1.0472,3,-1.24284e-05,-6.83339e-08,5999
