lon_from,lat_from,psi_from,lon_to,lat_to,psi_to
-73.9485,40.5369,-0.523599,-73.9463,40.5369,-0.523599
-73.9425,40.5383,-0.523599,-73.9407,40.5375,-0.523599
-73.9359,40.5409,-4.10182e-07,-73.9341,40.5417,-3.42838e-07
-73.9336,40.5419,-4.97105e-07,-73.9318,40.5427,-5.1704e-07
-73.9407,40.5391,-0.523599,-73.9388,40.5383,-0.523599
-73.9604,40.5245,-1.35673e-07,-73.9583,40.5245,-1.50062e-07
-73.935,40.5412,0.523598,-73.9331,40.542,0.523598
-73.9519,40.5332,-0.523599,-73.9501,40.5324,-0.523599
-73.9347,40.5405,-5.4378e-07,-73.9328,40.5413,-5.79373e-07
-73.943,40.5381,-0.523599,-73.9408,40.5381,-0.523599
-73.9368,40.5597,1.0472,-73.9367,40.5613,1.5708
-73.9395,40.5374,3.77509e-07,-73.9376,40.5367,-0.523598
-73.9419,40.5395,-0.523599,-73.9398,40.5395,-0.523599
-73.9351,40.543,0.523598,-73.933,40.5431,-3.55596e-07
-73.9687,40.5344,2.0944,-73.9697,40.5358,2.0944
-73.9583,40.5465,2.0944,-73.9583,40.5481,2.0944
-73.9464,40.5344,-2.29427e-07,-73.9443,40.5344,-2.48759e-07
-73.937,40.5395,-4.42986e-07,-73.9352,40.5403,-4.75476e-07
-73.9533,40.5523,1.5708,-73.9543,40.5538,2.0944
-73.9373,40.5403,-4.40937e-07,-73.9354,40.5395,-0.523599
-73.9381,40.5381,-4.61493e-07,-73.9362,40.5389,-4.79352e-07
-73.9384,40.5389,-4.66648e-07,-73.9365,40.5381,-0.523599
-73.9644,40.5421,2.0944,-73.9644,40.5437,2.0944
-73.9602,40.5456,2.0944,-73.9612,40.547,2.0944
-73.9645,40.5425,1.5708,-73.9634,40.5439,1.5708
-73.9564,40.5473,2.0944,-73.9564,40.5489,2.0944
-73.9591,40.5475,2.0944,-73.9591,40.5491,2.0944
-73.9626,40.5433,1.5708,-73.9616,40.5447,1.5708
-73.9665,40.5389,2.0944,-73.9665,40.5405,2.0944
-73.965,40.5221,-0.523599,-73.9628,40.5221,-0.523599
